PUMFID,LM_50A,LM_50B,LM_55,LM_60A,LM_60B,LM_60C,LM_60D,LM_60E,LM_60F,LM_60G,LM_60H,LM_65A,LM_65B,LM_65C,LM_65D,LM_65E,LM_75A,LM_75B,LM_75C,LM_75D,LM_75E,LM_75F,LM_75G,LM_75H,ER_05A,ER_05B,ER_05C,ER_05D,ER_05E,ER_05F,ER_05G,ER_05H,ER_05I,ER_05J,ER_05K,ER_05L,ER_05M,ER_05N,ER_10,HR_05A,HR_05B,HR_05C,HR_05D,HR_05E,HR_10,HR_15A,HR_15B,HR_15C,HR_15D,HR_15E,HR_15F,HR_15G,HR_15H,HR_15I,HR_15J,HR_20A,HR_20B,HR_20C,HR_20D,HR_20E,HR_20F,HR_20G,HR_20H,HR_20I,HR_25A,HR_25B,HR_25C,HR_30A,HR_30B,HR_30C,HR_30D,HR_30E,HR_30F,HR_30G,HR_30H,HR_35,HR_Q25BC,FCR_05,FCR_15,FCR_20,FCR_10A,FCR_10B,FCR_10C,FCR_10D,FCR_10E,FCR_10F,FCR_10G,FCR_10H,FCR_10I,FCR_10J,FCR_10K,CT_05,PCT_10,CT_15A,CT_15B,CT_15C,CT_15D,CT_15E,CT_15F,PTC_05A,PTC_05B,PTC_05C,PTC_05D,PTC_05E,PTC_05F,PTC_05G,PTC_05H,PTC_05I,PTC_05J,PTC_05K,PTC_05L,PTC_05M,PTC_10,PTC_15A,PTC15BC,PTC_15E,PTC_15F,PTC_15G,PTC15DHI,PFW_05A,PFW_05B,PFW_05C,PFW_05D,PFW_05E,PFW_05F,PFW_05G,RURURB,SEX,PTELEWSC,MARSTATC,IMMIGRNC,PCHILD,HHLDSIZC,AGEGRP,PDWELCDC,PEDUC_LC,PEMPSTC,PERS_WGT,VERDATE
6032,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,2,3,2,3,3,3,3,3,2,4,2,4,2,1,1,2,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,2,2,1,2,2,2,.a,.b,.a,.a,.a,.a,.a,.a,.a,.a,3,.b,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,8,8,.a,.a,.a,.a,.a,.a,3,3,3,3,4,4,4,3,4,3,3,3,4,2,.a,.a,.a,.a,.a,.a,5,5,2,5,1,3,5,2,2,.d,3,1,0,1,6,2,2,4,5655.9172,16/07/2020
6033,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,2,1,4,1,3,1,3,2,3,1,4,1,3,2,1,1,2,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,1,1,1,2,2,2,.a,1,.a,.a,.a,.a,.a,.a,.a,.a,6,1,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,5,7,2,2,2,1,2,2,2,2,2,3,3,3,1,2,4,1,2,2,2,1,2,1,1,2,2,1,5,5,4,4,3,2,3,2,2,2,4,2,0,2,2,3,7,1,20448.3936,16/07/2020
6034,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,3,3,3,3,3,3,3,1,3,3,3,3,3,2,1,1,2,2,2,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,1,2,1,2,1,2,2,3,.a,.a,2,2,2,2,2,2,2,1,8,.a,1,2,3,3,1,1,3,2,3,5,5,5,5,5,3,3,.a,.a,.a,.a,.a,.a,2,1,1,2,2,2,1,2,3,2,2,2,2,2,.a,.a,.a,.a,.a,.a,5,5,2,3,2,2,2,2,2,3,2,1,0,2,2,2,6,1,9266.2433,16/07/2020
6035,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,2,3,3,3,3,3,3,1,3,3,4,3,4,2,2,2,2,2,1,4,2,2,1,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,4,.a,.a,2,2,2,2,1,2,2,2,10,.a,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,3,.a,.a,.a,.a,.a,.a,2,1,1,2,2,2,1,4,4,3,2,2,4,2,.a,.a,.a,.a,.a,.a,5,5,1,5,5,1,5,2,1,3,4,1,0,2,5,1,3,1,2211.1235,16/07/2020
6036,1,.a,1,2,1,1,2,1,2,2,2,.a,.a,.a,.a,.a,2,3,1,2,2,2,1,2,2,3,3,3,2,3,3,2,1,3,3,1,1,3,2,1,1,2,2,2,4,2,1,1,2,1,2,2,2,2,2,1,2,1,1,2,2,1,2,2,4,.a,.a,2,2,2,1,1,2,2,2,9,.a,1,3,3,1,3,1,3,1,2,1,3,5,1,5,3,3,.a,.a,.a,.a,.a,.a,1,1,1,2,2,3,1,2,3,2,2,1,1,2,.a,.a,.a,.a,.a,.a,2,5,2,2,2,2,2,1,1,.d,1,1,1,2,2,1,4,.d,7029.243,16/07/2020
6037,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,1,4,4,1,2,3,2,3,2,4,1,1,2,2,.b,1,2,2,2,2,3,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,3,.a,.a,2,2,1,2,2,2,2,2,5,.a,1,4,2,3,3,2,3,1,3,3,3,4,3,3,3,3,.a,.a,.a,.a,.a,.a,2,2,2,2,1,3,4,2,1,2,3,2,2,2,.a,.a,.a,.a,.a,.a,3,1,2,5,2,2,2,2,1,.d,1,2,1,3,3,4,1,1,9351.0672,16/07/2020
6038,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,3,1,1,3,1,3,1,3,1,4,3,3,2,1,1,1,1,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,2,2,1,1,1,2,.b,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,8,.a,1,4,3,2,2,3,2,2,1,5,5,5,5,5,8,8,.a,.a,.a,.a,.a,.a,2,3,2,3,2,2,1,2,4,2,1,2,3,1,2,2,1,1,2,1,5,5,3,3,4,3,2,2,1,.d,1,1,0,3,5,1,6,4,4911.8098,16/07/2020
6039,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,3,3,3,3,3,3,3,2,2,2,4,3,4,2,2,1,2,2,2,4,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,.a,1,.a,.a,.a,.a,.a,.a,.a,.a,8,1,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,3,.a,.a,.a,.a,.a,.a,2,2,2,2,2,3,1,2,3,3,2,2,2,2,.a,.a,.a,.a,.a,.a,5,1,2,3,2,2,2,2,1,3,3,1,0,1,4,1,4,1,864.8194,16/07/2020
6040,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,2,2,3,2,3,3,3,3,3,2,4,3,1,2,2,2,1,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,1,2,1,2,2,1,.b,.a,.a,.a,.a,.a,.a,.a,.a,.a,8,.b,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,7,2,1,2,1,2,2,2,2,2,3,3,3,1,2,2,2,2,2,3,2,.a,.a,.a,.a,.a,.a,5,1,2,4,2,2,1,2,2,2,3,1,0,2,6,1,7,1,6288.5581,16/07/2020
6041,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,4,4,3,4,4,4,3,3,4,4,4,4,4,3,1,1,2,2,2,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,2,2,1,2,2,1,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,5,1,1,5,3,3,3,3,3,3,3,5,5,5,5,5,8,8,.a,.a,.a,.a,.a,.a,2,4,4,4,4,4,4,4,4,2,2,2,4,2,.a,.a,.a,.a,.a,.a,5,5,3,4,5,5,5,2,2,.d,1,2,0,4,6,3,2,4,62834.8839,16/07/2020
